chr,start,end,strand,symbol,perc_meth.NGO,perc_meth.GVO
chr11,117472560,117474731,+,2900041M22Rik,0.006734007,0.017825312
chr11,117515602,117624753,+,Tnrc6c,0.012237974,0.679951558
chr11,117627298,117641997,-,Tmc6,0.011466506,0.068948289
chr11,117636670,117641935,-,Tmc6,0.01210121,0.023501199
chr11,117643610,117654451,+,Tmc8,0.009505703,0.015469613
chr11,117643610,117654451,+,Tmc8,0.009505703,0.015469613
chr11,117643610,117654451,+,Tmc8,0.009505703,0.015469613
chr11,117643610,117654451,+,Tmc8,0.009505703,0.015469613
chr11,117643610,117654451,+,Tmc8,0.009505703,0.015469613
chr11,117643610,117654451,+,Tmc8,0.009505703,0.015469613
chr11,117643610,117654451,+,Tmc8,0.009505703,0.015469613
chr11,117643610,117654451,+,Tmc8,0.009505703,0.015469613
chr11,117643610,117654451,+,Tmc8,0.009505703,0.015469613
chr11,117643971,117654451,+,Tmc8,0.008643617,0.015069662
chr11,117658973,117668622,+,6030468B19Rik,0.003558719,0.818443804
chr11,117670980,117675600,+,Syngr2,0.009248555,0.229265716
chr11,117676832,117687328,-,Tk1,0.007949126,0.7568246
chr11,117676832,117687328,-,Tk1,0.007949126,0.7568246
chr11,117676832,117687328,-,Tk1,0.007949126,0.7568246
chr11,117676832,117687328,-,Tk1,0.007949126,0.7568246
chr11,11768125,11785324,+,1700042O10Rik,0.00886382,0.017608217
chr11,117687232,117701222,+,Afmid,0.006781751,0.846820809
chr11,117710550,117717057,+,Birc5,0.015455951,0.156293223
chr11,117710550,117717057,+,Birc5,0.015455951,0.156293223
chr11,117710550,117717057,+,Birc5,0.015455951,0.156293223
chr11,117710550,117717057,+,Birc5,0.015455951,0.156293223
chr11,117722065,117726857,+,Tmem235,0.005836576,0.955017301
chr11,117729262,117734840,-,Tha1,0.010784314,0.850532351
chr11,117827400,117830680,-,Socs3,0.003389831,0.006878762
chr11,117848170,117885325,+,Pgs1,0.013611111,0.763346614
chr11,117883036,117990533,-,Dnahc17,0.014433129,0.74672344
chr11,118025479,118074056,-,Cyth1,0.008632758,0.904832872
chr11,118025479,118109906,-,Cyth1,0.010539629,0.784792242
chr11,118025479,118109906,-,Cyth1,0.010539629,0.784792242
chr11,118025479,118109906,-,Cyth1,0.010539629,0.784792242
chr11,118025479,118109906,-,Cyth1,0.010539629,0.784792242
chr11,118120966,118151558,-,Usp36,0.010965936,0.847696716
chr11,118162374,118216725,-,Timp2,0.018628912,0.036334241
chr11,118193673,118203848,-,BC100451,0.006200177,0.01403768
chr11,118254065,118263245,-,Lgals3bp,0.006764374,0.887665198
chr11,118267602,118277114,-,Cant1,0.004405286,0.974670719
chr11,118267602,118280432,-,Cant1,0.006555423,0.817033976
chr11,118267602,118280432,-,Cant1,0.006555423,0.817033976
chr11,118267602,118280432,-,Cant1,0.006555423,0.817033976
chr11,118267602,118280432,-,Cant1,0.006555423,0.817033976
chr11,118267602,118280432,-,Cant1,0.006555423,0.817033976
chr11,118267602,118280432,-,Cant1,0.006555423,0.817033976
chr11,118267602,118280432,-,Cant1,0.006555423,0.817033976
chr11,118267602,118280432,-,Cant1,0.006555423,0.817033976
chr11,118267602,118280432,-,Cant1,0.006555423,0.817033976
chr11,118267602,118280432,-,Cant1,0.006555423,0.817033976
chr11,118267602,118280432,-,Cant1,0.006555423,0.817033976
chr11,118267602,118280432,-,Cant1,0.006555423,0.817033976
chr11,118267602,118280432,-,Cant1,0.006555423,0.817033976
chr11,118267602,118280432,-,Cant1,0.006555423,0.817033976
chr11,118267602,118280432,-,Cant1,0.006555423,0.817033976
chr11,118267602,118280432,-,Cant1,0.006555423,0.817033976
chr11,118289770,118313096,+,C1qtnf1,0.010318528,0.027941176
chr11,118295114,118313096,+,C1qtnf1,0.011390887,0.029238122
chr11,118304847,118313096,+,C1qtnf1,0.011450382,0.026607539
chr11,11830501,11927974,-,Grb10,0.022245951,0.967849321
chr11,11830501,11937423,-,Grb10,0.021021943,0.877769626
chr11,118305513,118316309,-,Gm11747,0.012711864,0.032977241
chr11,118338273,118350512,+,Engase,0.007800312,0.544309701
chr11,118351073,118770886,-,Rbfox3,0.009093783,0.049975669
chr11,118351073,118770886,-,Rbfox3,0.009093783,0.049975669
chr11,118351073,118770886,-,Rbfox3,0.009093783,0.049975669
chr11,118351073,118770886,-,Rbfox3,0.009093783,0.049975669
chr11,118351073,118770886,-,Rbfox3,0.009093783,0.049975669
chr11,118351073,118770886,-,Rbfox3,0.009093783,0.049975669
chr11,118351073,118770886,-,Rbfox3,0.009093783,0.049975669
chr11,118351073,118770886,-,Rbfox3,0.009093783,0.049975669
chr11,118351073,118770886,-,Rbfox3,0.009093783,0.049975669
chr11,118849501,118854155,+,Enpp7,0.017786561,0.034539474
chr11,118884342,118892584,+,Cbx2,0.011299435,0.592545799
chr11,118899749,118902227,-,Cbx8,0.006818182,0.562313061
chr11,118938884,118947551,-,Cbx4,0.006093433,0.43761302
chr11,119004356,119089813,-,Tbc1d16,0.008285472,0.021215329
chr11,119089885,119126526,+,Ccdc40,0.007545086,0.388415098
chr11,119129280,119147012,+,Gaa,0.007665772,0.871766209
chr11,119129321,119147012,+,Gaa,0.007794232,0.887207031
chr11,119149676,119161357,-,Eif4a3,0.007185629,0.732554982
chr11,119176100,119206689,+,Card14,0.012857735,0.716351502
chr11,119204802,119216824,-,Sgsh,0.014048531,0.25266612
chr11,119216870,119242390,+,Slc26a11,0.01063338,0.04195391
chr11,119251785,119251875,+,Mir1932,0,0.032520325
chr11,119352660,119372779,+,Endov,0.007470651,0.740900383
chr11,119352933,119372779,+,Endov,0.006399069,0.798501679
chr11,119400032,119409134,-,Nptx1,0.00390117,0.01237549
chr11,119409943,119430360,+,Gm11762,0.00831793,0.05389097
chr11,119464308,119760905,+,Rptor,0.010290828,0.892700272
chr11,119682124,119695679,-,A430071A18Rik,0.008555133,0.963462375
chr11,119682124,119695679,-,A430071A18Rik,0.008555133,0.963462375
chr11,119682124,119695679,-,A430071A18Rik,0.008555133,0.963462375
chr11,119682124,119695679,-,A430071A18Rik,0.008555133,0.963462375
chr11,119775123,119780866,+,Chmp6,0.014705882,0.631391201
chr11,119804405,119863932,+,Baiap2,0.00925254,0.697210822
chr11,119804405,119863932,+,Baiap2,0.00925254,0.697210822
chr11,119804405,119863932,+,Baiap2,0.00925254,0.697210822
chr11,119804405,119863932,+,Baiap2,0.00925254,0.697210822
chr11,119804405,119868096,+,Baiap2,0.00959947,0.718079053
chr11,119868631,119903095,-,Aatk,0.008749357,0.030296402
chr11,119868631,119908459,-,Aatk,0.00834065,0.029925898
chr11,119868631,119908459,-,Aatk,0.00834065,0.029925898
chr11,119868631,119908459,-,Aatk,0.00834065,0.029925898
chr11,119868631,119908459,-,Aatk,0.00834065,0.029925898
chr11,119876078,119876176,-,Mir338,0,0
chr11,119876080,119876167,+,Mir3065,0,0
chr11,119925743,119948141,-,Azi1,0.030131265,0.892825621
chr11,119951835,119960045,-,Enthd2,0.00810537,0.793075684
chr11,119960247,119961738,+,1810043H04Rik,0.003937008,0.16072908
chr11,119965264,120012665,-,Slc38a10,0.009231349,0.848123583
chr11,119965264,120012665,-,Slc38a10,0.009231349,0.848123583
chr11,119965264,120012665,-,Slc38a10,0.009231349,0.848123583
chr11,119965264,120012665,-,Slc38a10,0.009231349,0.848123583
chr11,119965264,120012665,-,Slc38a10,0.009231349,0.848123583
chr11,119965264,120012665,-,Slc38a10,0.009231349,0.848123583
chr11,119965264,120012665,-,Slc38a10,0.009231349,0.848123583
chr11,119965264,120012665,-,Slc38a10,0.009231349,0.848123583
chr11,119965264,120012665,-,Slc38a10,0.009231349,0.848123583
chr11,119965264,120012665,-,Slc38a10,0.009231349,0.848123583
chr11,119965264,120012665,-,Slc38a10,0.009231349,0.848123583
chr11,119965264,120012665,-,Slc38a10,0.009231349,0.848123583
chr11,119965264,120012665,-,Slc38a10,0.009231349,0.848123583
chr11,119965264,120012665,-,Slc38a10,0.009231349,0.848123583
chr11,119965264,120012665,-,Slc38a10,0.009231349,0.848123583
chr11,119965264,120012665,-,Slc38a10,0.009231349,0.848123583
chr11,119980185,120012665,-,Slc38a10,0.007851935,0.792042042
chr11,119985157,120012665,-,Slc38a10,0.007679466,0.77817692
chr11,120047963,120051170,-,2810410L24Rik,0.007407407,0.014618547
chr11,120094260,120153611,+,Bahcc1,0.008549819,0.062244501
chr11,120207003,120209798,-,Actg1,0.002178649,0.290437891
chr11,120209991,120212504,+,0610009L18Rik,0.009628611,0.007306889
chr11,120222847,120229487,+,Fscn2,0.009746589,0.345093268
chr11,120230875,120240060,-,2310003H01Rik,0.01159618,0.796540604
chr11,120241111,120299014,-,Nploc4,0.013361839,0.814175542
chr11,120241111,120299014,-,Nploc4,0.013361839,0.814175542
chr11,120241111,120299014,-,Nploc4,0.013361839,0.814175542
chr11,120241111,120299014,-,Nploc4,0.013361839,0.814175542
chr11,120303944,120308635,+,Tspan10,0.023529412,0.20516129
chr11,120308923,120314797,-,Pde6g,0.004854369,0.909001957
chr11,120317917,120319377,-,Oxld1,0.007575758,0.228535354
chr11,120319442,120325667,+,Ccdc137,0.00405954,0.640382318
chr11,120325639,120328914,-,Arl16,0.002105263,0.357330992
chr11,120328948,120345298,+,Hgs,0.008094981,0.737246161
chr11,120328948,120345298,+,Hgs,0.008094981,0.737246161
chr11,120328948,120345298,+,Hgs,0.008094981,0.737246161
chr11,120328948,120345298,+,Hgs,0.008094981,0.737246161
chr11,120345982,120350068,+,Mrpl12,0.007453416,0.639140271
chr11,120353150,120362475,+,Slc25a10,0.006548176,0.628400796
chr11,120392040,120400298,+,Gcgr,0.003549246,0.039297659
chr11,120404201,120411041,-,Fam195b,0.015363128,0.665286813
chr11,120411288,120412446,-,Ppp1r27,0.004219409,0.010238908
chr11,120421617,120434250,-,P4hb,0.008885851,0.799199466
chr11,120438548,120442934,-,Arhgdia,0.00286123,0.385138417
chr11,120455829,120459679,-,Alyref,0.01309329,0.367501456
chr11,120459734,120469512,+,Anapc11,0.007978723,0.451598963
chr11,120459845,120469512,+,Anapc11,0.009259259,0.506556581
chr11,120469790,120470414,+,Npb,0.013215859,0.956716418
chr11,120471400,120479204,-,Pcyt2,0.010989011,0.662952646
chr11,120479685,120486316,-,Sirt7,0.007795889,0.666770574
chr11,120489666,120494861,-,Mafg,0.009846827,0.510524438
chr11,120497025,120504984,-,Pycr1,0.00947226,0.475247525
chr11,120507344,120509651,-,Myadml2,0.018041237,0.011122346
chr11,120507344,120509651,-,Myadml2,0.018041237,0.011122346
chr11,120507344,120509651,-,Myadml2,0.018041237,0.011122346
chr11,120507344,120509651,-,Myadml2,0.018041237,0.011122346
chr11,120515102,120522151,-,Notum,0.011196641,0.013435115
chr11,120534286,120570760,+,Aspscr1,0.010532001,0.86110744
chr11,120537974,120570760,+,Aspscr1,0.010118044,0.969643992
chr11,120537974,120570760,+,Aspscr1,0.010118044,0.969643992
chr11,120537974,120570760,+,Aspscr1,0.010118044,0.969643992
chr11,120537974,120570760,+,Aspscr1,0.010118044,0.969643992
chr11,120572254,120575081,-,Stra13,0.004694836,0.07135362
chr11,120575266,120582441,+,Lrrc45,0.006956522,0.646715328
chr11,120582781,120585283,+,Rac3,0.00990099,0.334256694
chr11,120586686,120588595,-,Dcxr,0.002932551,0.11957796
chr11,120590798,120593335,-,Cbr2,0.004587156,0.012522361
chr11,120642058,120645518,-,Rfng,0.005859375,0.575226586
chr11,120645585,120650416,+,Gps1,0.01261034,0.450649976
chr11,120645828,120650416,+,Gps1,0.007225434,0.544186047
chr11,120650515,120657709,-,Dus1l,0.05,0.642754663
chr11,120667271,120685861,-,Fasn,0.011449316,0.620900693
chr11,120687855,120794186,-,Ccdc57,0.014121684,0.809483844
chr11,120809797,120820314,+,Slc16a3,0.00594884,0.33930997
chr11,120810380,120820314,+,Slc16a3,0.005765535,0.369044096
chr11,120810380,120820314,+,Slc16a3,0.005765535,0.369044096
chr11,120810380,120820314,+,Slc16a3,0.005765535,0.369044096
chr11,120810380,120820314,+,Slc16a3,0.005765535,0.369044096
chr11,120823054,120852647,-,Csnk1d,0.009565857,0.789124927
chr11,120823054,120852647,-,Csnk1d,0.009565857,0.789124927
chr11,120823054,120852647,-,Csnk1d,0.009565857,0.789124927
chr11,120823054,120852647,-,Csnk1d,0.009565857,0.789124927
chr11,120898062,120900792,-,Cd7,0.009708738,0.195826645
chr11,120914736,120924883,-,Sectm1b,0.010727056,0.020737327
chr11,120928716,120942453,-,Sectm1a,0.138666667,0.186813187
chr11,120977528,120979991,-,Tex19.2,0.021834061,0.252591894
chr11,121007456,121009627,+,Tex19.1,0.005076142,0.212062257
chr11,121021584,121023287,+,Uts2r,0.006756757,0.051603905
chr11,121038906,121065962,-,Ogfod3,0.010251631,0.811324786
chr11,121065746,121083970,+,Hexdc,0.013831259,0.69742624
chr11,121068956,121083970,+,Hexdc,0.013986014,0.94779632
chr11,121083902,121090254,-,BC017643,0.005639098,0.770938446
chr11,121083902,121090623,-,BC017643,0.004934211,0.58697318
chr11,121083902,121090623,-,BC017643,0.004934211,0.58697318
chr11,121083902,121090623,-,BC017643,0.004934211,0.58697318
chr11,121083902,121090623,-,BC017643,0.004934211,0.58697318
chr11,121083902,121090623,-,BC017643,0.004934211,0.58697318
chr11,121083902,121090623,-,BC017643,0.004934211,0.58697318
chr11,121083902,121090623,-,BC017643,0.004934211,0.58697318
chr11,121083902,121090623,-,BC017643,0.004934211,0.58697318
chr11,121083902,121090623,-,BC017643,0.004934211,0.58697318
chr11,121083902,121090623,-,BC017643,0.004934211,0.58697318
chr11,121083902,121090623,-,BC017643,0.004934211,0.58697318
chr11,121083902,121090623,-,BC017643,0.004934211,0.58697318
chr11,121083902,121090623,-,BC017643,0.004934211,0.58697318
chr11,121083902,121090623,-,BC017643,0.004934211,0.58697318
chr11,121083902,121090623,-,BC017643,0.004934211,0.58697318
chr11,121083902,121090623,-,BC017643,0.004934211,0.58697318
chr11,121098549,121117170,+,Narf,0.010060362,0.742222222
chr11,121121300,121171210,+,Foxk2,0.032964135,0.790602901
chr11,121188516,121215761,-,Wdr45b,0.022365805,0.600617148
chr11,121217434,121249565,-,Rab40b,0.007438401,0.277051639
chr11,121282686,121292082,+,Fn3krp,0.01082544,0.608529251
chr11,121296266,121304819,+,Fn3k,0.005328597,0.031596926
chr11,121296266,121311804,+,Fn3k,0.006067961,0.025466893
chr11,121313262,121478484,+,Tbcd,0.009496323,0.854269629
chr11,12136678,12364963,-,Cobl,0.009840625,0.85286479
chr11,121372289,121380656,-,Zfp750,0.008547009,0.621917808
chr11,121477521,121534465,-,B3gntl1,0.010829436,0.845589946
chr11,121563740,121578703,+,Metrnl,0.004279601,0.218326693
chr11,121691531,121704750,+,Ptchd3,0.004178273,0.029308324
chr11,14460338,14499228,-,1700046C09Rik,0.039593909,0.186582809
chr11,14499242,14500319,+,Pom121l12,0,0.023498695
chr11,16157726,16184554,+,Vstm2a,0.013718412,0.028239724
chr11,16401640,16408487,-,Sec61g,0.011042945,0.322812052
chr11,16401640,16408487,-,Sec61g,0.011042945,0.322812052
chr11,16401640,16408487,-,Sec61g,0.011042945,0.322812052
chr11,16401640,16408487,-,Sec61g,0.011042945,0.322812052
chr11,16401640,16408487,-,Sec61g,0.011042945,0.322812052
chr11,16401640,16408487,-,Sec61g,0.011042945,0.322812052
chr11,16401640,16408487,-,Sec61g,0.011042945,0.322812052
chr11,16401640,16408487,-,Sec61g,0.011042945,0.322812052
chr11,16401640,16408487,-,Sec61g,0.011042945,0.322812052
chr11,16652205,16787661,+,Egfr,0.006824513,0.029018
chr11,16652205,16813910,+,Egfr,0.006648326,0.068043548
chr11,16836725,16851096,-,2810442I21Rik,0.016949153,0.0980876
chr11,16851412,16854775,+,Fbxo48,0.007614213,0.332829047
chr11,16871208,16908721,-,Plek,0.006640841,0.680139575
chr11,16951936,16979375,+,Cnrip1,0.003601441,0.187241583
chr11,17059300,17100383,+,Ppp3r1,0.00921659,0.701991732
chr11,17103202,17111592,-,Pno1,0.022222222,0.518895349
chr11,17111895,17135203,+,Wdr92,0.026147959,0.824086162
chr11,17157620,17169179,+,C1d,0.009090909,0.520022561
chr11,17838751,17853878,-,Etaa1,0.091968912,0.5205
chr11,18780430,18918972,-,Meis1,0.006378987,0.026241421
chr11,18780430,18918972,-,Meis1,0.006378987,0.026241421
chr11,18780430,18918972,-,Meis1,0.006378987,0.026241421
chr11,18780430,18918972,-,Meis1,0.006378987,0.026241421
chr11,18965277,18975743,+,4933406G16Rik,0.048177083,0.973544974
chr11,19824444,19922600,+,Spred2,0.010607321,0.638261037
chr11,19962306,20012954,-,Actr2,0.012705531,0.728445748
chr11,20101604,20126859,+,Rab1,0.014455782,0.646574317
chr11,20127039,20149427,-,Cep68,0.006097561,0.576243608
chr11,20202182,20232716,-,Slc1a4,0.005464481,0.460080321
chr11,20443255,20553026,+,Sertad2,0.01139559,0.731733405
chr11,20531979,20553026,+,Sertad2,0.019362187,0.518292683
chr11,20585087,20641551,-,Aftph,0.012021037,0.760701754
chr11,20585087,20641551,-,Aftph,0.012021037,0.760701754
chr11,20585087,20641551,-,Aftph,0.012021037,0.760701754
chr11,20585087,20641551,-,Aftph,0.012021037,0.760701754
chr11,20723357,20731111,-,Lgalsl,0.006112469,0.491090147
chr11,20991326,21050330,+,Peli1,0.021410579,0.609404271
chr11,21138891,21221136,+,Vps54,0.013146363,0.723002085
chr11,21221144,21270882,-,Ugp2,0.009359606,0.711768692
chr11,21244590,21244678,-,Mir1933,0,0.894736842
chr11,21394732,21411183,-,4932414J04Rik,0.008802817,0.200357782
chr11,21456694,21471937,-,Mdh1,0.008789063,0.7125
chr11,21472283,21798689,+,Wdpcp,0.037409377,0.464342748
chr11,21894766,21901654,-,Otx1,0.005491488,0.194078186
chr11,21905828,22186798,-,Ehbp1,0.014658244,0.862121455
chr11,21905828,22186798,-,Ehbp1,0.014658244,0.862121455
chr11,21905828,22186798,-,Ehbp1,0.014658244,0.862121455
chr11,21905828,22186798,-,Ehbp1,0.014658244,0.862121455
chr11,22412285,22419234,+,Tmem17,0.089041096,0.304189435
chr11,22734738,22759735,-,B3gnt2,0.011784512,0.509129213
chr11,22734738,22760336,-,B3gnt2,0.012788982,0.439669088
chr11,22799727,22882284,-,Commd1,0.024143624,0.830374561
chr11,22872004,22876496,+,Zrsr1,0.052264808,0.901618399
chr11,22890592,22903336,+,Cct4,0.005976096,0.470618557
chr11,22913386,22923741,+,Fam161a,0.020887728,0.198084979
chr11,23156040,23197597,+,Xpo1,0.009044658,0.7
chr11,23156040,23197597,+,Xpo1,0.009044658,0.7
chr11,23156040,23197597,+,Xpo1,0.009044658,0.7
chr11,23156040,23197597,+,Xpo1,0.009044658,0.7
chr11,23206894,23390560,+,Usp34,0.012079379,0.881909149
chr11,23387881,23397946,-,Ahsa2,0.006726457,0.57164557
chr11,23416202,23419195,-,1700093K21Rik,0.014925373,0.054112554
chr11,23416202,23419942,-,1700093K21Rik,0.013377926,0.039513678
chr11,23458059,23458842,-,Gm12060,0,0.374100719
chr11,23473775,23533631,-,0610010F05Rik,0.009645062,0.68437976
chr11,23546478,23565935,-,Pex13,0.008056395,0.536268134
chr11,23565673,23632876,+,Pus10,0.011648224,0.840959512
chr11,23565673,23632876,+,Pus10,0.011648224,0.840959512
chr11,23565673,23632876,+,Pus10,0.011648224,0.840959512
chr11,23565673,23632876,+,Pus10,0.011648224,0.840959512
chr11,23565975,23632876,+,Pus10,0.01211387,0.891470588
chr11,23641728,23670970,-,Rel,0.010301109,0.607557052
chr11,23762645,23795270,-,Papolg,0.008468052,0.670950156
chr11,23978055,24068435,+,Bcl11a,0.012199973,0.029238039
chr11,23978055,24073558,+,Bcl11a,0.012182741,0.029860799
chr11,23978055,24073558,+,Bcl11a,0.012182741,0.029860799
chr11,23978055,24073558,+,Bcl11a,0.012182741,0.029860799
chr11,23978055,24073558,+,Bcl11a,0.012182741,0.029860799
chr11,23980694,24073558,+,Bcl11a,0.012030075,0.032305433
chr11,24381908,24469951,+,4933430M04Rik,0.011744966,0.254480993
chr11,24621005,24630722,-,Gm10466,0.01,0.566552901
chr11,25226106,25267137,+,4933427E13Rik,0.01146789,0.568547009
chr11,25516845,26110576,-,5730522E02Rik,0.012746171,0.743588361
chr11,26287083,26371876,+,Fancl,0.026719057,0.795842217
chr11,26371401,26493920,-,Vrk2,0.049457177,0.638003883
chr11,26371401,26493920,-,Vrk2,0.049457177,0.638003883
chr11,26371401,26493920,-,Vrk2,0.049457177,0.638003883
chr11,26371401,26493920,-,Vrk2,0.049457177,0.638003883
chr11,26685107,26687859,+,Gm12070,0,0.009852217
chr11,28285691,28484296,-,Ccdc85a,0.017515557,0.594740246
chr11,28285691,28484296,-,Ccdc85a,0.017515557,0.594740246
chr11,28285691,28484296,-,Ccdc85a,0.017515557,0.594740246
chr11,28285691,28484296,-,Ccdc85a,0.017515557,0.594740246
chr11,28475196,28484296,-,Ccdc85a,0.006603774,0.017921147
chr11,28581563,28593276,+,2810471M01Rik,0.005464481,0.031746032
chr11,28753204,28826743,+,Efemp1,0.02138804,0.74418094
chr11,29030750,29061828,+,Pnpt1,0.01183432,0.826639344
chr11,29072906,29120797,+,Smek2,0.010114633,0.628336173
chr11,29121535,29147272,-,Ccdc104,0.006711409,0.427444795
chr11,29273774,29410811,+,Ccdc88a,0.014588859,0.793419633
chr11,29411756,29415033,-,Prorsd1,0.003745318,0.274671053
chr11,29411756,29415033,-,Prorsd1,0.003745318,0.274671053
chr11,29411756,29415033,-,Prorsd1,0.003745318,0.274671053
chr11,29411756,29415033,-,Prorsd1,0.003745318,0.274671053
chr11,29426456,29445255,+,Mtif2,0.00621118,0.655373213
chr11,29445841,29448040,-,Rps27a,0.001633987,0.125379171
chr11,29445841,29448040,-,Rps27a,0.001633987,0.125379171
chr11,29445841,29448040,-,Rps27a,0.001633987,0.125379171
chr11,29445841,29448040,-,Rps27a,0.001633987,0.125379171
chr11,29447949,29478352,+,1700034F02Rik,0.004964539,0.400643087
chr11,29447949,29478352,+,1700034F02Rik,0.004964539,0.400643087
chr11,29447949,29478352,+,1700034F02Rik,0.004964539,0.400643087
chr11,29447949,29478352,+,1700034F02Rik,0.004964539,0.400643087
chr11,29592897,29644414,+,Rtn4,0.009063444,0.569075076
chr11,29592897,29644414,+,Rtn4,0.009063444,0.569075076
chr11,29592897,29644414,+,Rtn4,0.009063444,0.569075076
chr11,29592897,29644414,+,Rtn4,0.009063444,0.569075076
chr11,29592897,29644414,+,Rtn4,0.009063444,0.569075076
chr11,29592897,29644414,+,Rtn4,0.009063444,0.569075076
chr11,29592897,29644414,+,Rtn4,0.009063444,0.569075076
chr11,29592897,29644414,+,Rtn4,0.009063444,0.569075076
chr11,29592897,29644414,+,Rtn4,0.009063444,0.569075076
chr11,29593773,29644414,+,Rtn4,0.008599509,0.727573751
chr11,29618562,29644414,+,Rtn4,0.012158055,0.78125
chr11,29643050,29926033,-,Eml6,0.019339715,0.857876634
chr11,29722394,29725668,-,4931440F15Rik,0.005964215,0.97708082
chr11,29999394,30119772,-,Sptbn1,0.010204082,0.921999863
chr11,30006842,30098257,-,Sptbn1,0.011997913,0.93397817
chr11,3024023,3031947,+,Pisd-ps1,0.114461358,0.704480584
chr11,3024029,3031945,+,Pisd-ps3,0.114461358,0.704480584
chr11,3031852,3093466,-,Sfi1,0.141505636,0.554263678
chr11,30326005,30371829,-,4930505A04Rik,0.047692308,0.316607774
chr11,30405991,30549396,-,Acyp2,0.019345594,0.892110587
chr11,30671774,30780361,+,Psme4,0.013896931,0.727971452
chr11,30785357,30793725,+,Gpr75,0.016736402,0.082204155
chr11,30829783,30854131,-,Erlec1,0.008,0.633088726
chr11,30854397,31002704,+,Asb3,0.081170991,0.741641337
chr11,30876708,30886365,-,Chac2,0.009009009,0.539351852
chr11,3102355,3144591,+,Eif4enif1,0.013888889,0.699300699
chr11,3102585,3144591,+,Eif4enif1,0.014785609,0.746606335
chr11,3102997,3144591,+,Eif4enif1,0.015298317,0.849368068
chr11,3103021,3144591,+,Eif4enif1,0.015337423,0.854177478
chr11,31259440,31270061,-,Stc2,0.005540166,0.129118774
chr11,3149924,3166389,-,Drg1,0.023830538,0.575460604
chr11,31565149,31571862,-,Bod1,0.006060606,0.316554229
chr11,31772210,31831577,+,Cpeb4,0.007194245,0.975244073
chr11,31865632,31879651,+,4930524B15Rik,0.006613757,0.023864959
chr11,3189133,3209086,+,Patz1,0.00990099,0.554837641
chr11,3189133,3209086,+,Patz1,0.00990099,0.554837641
chr11,3189133,3209086,+,Patz1,0.00990099,0.554837641
chr11,3189133,3209086,+,Patz1,0.00990099,0.554837641
chr11,31900458,31959202,+,Nsg2,0.007380074,0.272864511
chr11,3190459,3209086,+,Patz1,0.010569853,0.663746765
chr11,3190459,3209086,+,Patz1,0.010569853,0.663746765
chr11,3190459,3209086,+,Patz1,0.010569853,0.663746765
chr11,3190459,3209086,+,Patz1,0.010569853,0.663746765
chr11,3190459,3209086,+,Patz1,0.010569853,0.663746765
chr11,3190459,3209086,+,Patz1,0.010569853,0.663746765
chr11,3190459,3209086,+,Patz1,0.010569853,0.663746765
chr11,3190459,3209086,+,Patz1,0.010569853,0.663746765
chr11,3190459,3209086,+,Patz1,0.010569853,0.663746765
chr11,32088996,32100279,-,Il9r,0.005608974,0.017081322
chr11,32088996,32100279,-,Il9r,0.005608974,0.017081322
chr11,32088996,32100279,-,Il9r,0.005608974,0.017081322
chr11,32088996,32100279,-,Il9r,0.005608974,0.017081322
chr11,3209002,3220725,+,Gm11944,0.004615385,0.790964262
chr11,32105414,32108995,+,Snrnp25,0.005067568,0.548013245
chr11,32109584,32122293,-,Rhbdf1,0.00893617,0.22665966
chr11,32126504,32132702,+,Mpg,0.006090134,0.583282489
chr11,32132418,32167614,-,Nprl3,0.007286755,0.876616494
chr11,32176599,32178115,+,Hba-x,0.006779661,0.019855596
chr11,32183671,32184486,+,Hba-a1,0.066666667,0
chr11,32183674,32184493,+,Hba-a2,0.066666667,0
chr11,32186963,32187912,+,Hbq1b,0.007692308,0.004615385
chr11,32196488,32197303,+,Hba-a1,0,0
chr11,32196491,32197310,+,Hba-a2,0,0
chr11,32200068,32200873,+,Hbq1a,0.004784689,0.004889976
chr11,32247810,32328183,+,Sh3pxd2b,0.010058676,0.097800471
chr11,3230733,3242974,+,Pik3ip1,0.010067114,0.339010989
chr11,32355371,32418709,+,Ubtd2,0.010634258,0.642296651
chr11,32422732,32427574,-,Efcab9,0.008849558,0.572481572
chr11,3243299,3271395,-,Limk2,0.010135135,0.790294013
chr11,32433265,32524595,+,Stk10,0.006917668,0.231357352
chr11,3243385,3256144,-,Limk2,0.00877193,0.966377031
chr11,3243385,3309238,-,Limk2,0.010660981,0.722370069
chr11,32542554,32646814,+,Fbxw11,0.011184211,0.712075291
chr11,32542554,32646814,+,Fbxw11,0.011184211,0.712075291
chr11,32542554,32646814,+,Fbxw11,0.011184211,0.712075291
chr11,32542554,32646814,+,Fbxw11,0.011184211,0.712075291
chr11,32542554,32646814,+,Fbxw11,0.011184211,0.712075291
chr11,32542554,32646814,+,Fbxw11,0.011184211,0.712075291
chr11,32542554,32646814,+,Fbxw11,0.011184211,0.712075291
chr11,32542554,32646814,+,Fbxw11,0.011184211,0.712075291
chr11,32542554,32646814,+,Fbxw11,0.011184211,0.712075291
chr11,32542554,32646814,+,Fbxw11,0.011184211,0.712075291
chr11,32542554,32646814,+,Fbxw11,0.011184211,0.712075291
chr11,32542554,32646814,+,Fbxw11,0.011184211,0.712075291
chr11,32542554,32646814,+,Fbxw11,0.011184211,0.712075291
chr11,32542554,32646814,+,Fbxw11,0.011184211,0.712075291
